Date,Open
2018-09-11,2046.3
2018-09-12,2001.9
2018-09-14,2019.85
2018-09-17,2021.3
2018-09-18,1994.9
2018-09-19,1994.85
2018-09-21,1973.9
2018-09-24,1967.25
2018-09-25,1925.7
2018-09-26,1962.95
2018-09-27,1969.4
2018-09-28,1980.65
2018-10-01,2009.8
2018-10-03,2030.45
2018-10-04,2008
2018-10-05,1953.95
2018-10-08,1965
2018-10-09,1944.4
2018-10-10,1945
2018-10-11,1925
2018-10-12,1945
2018-10-15,1990
2018-10-16,2003
2018-10-17,2006.1
2018-10-19,1958.9
2018-10-22,2014
2018-10-23,1973
2018-10-24,2004
2018-10-25,1973.6
2018-10-26,1968.8
2018-10-29,1964.1
2018-10-30,1925
2018-10-31,1902.05
2018-11-01,1930
2018-11-02,1926
2018-11-05,1949.9
2018-11-06,1955
2018-11-07,1961
2018-11-09,1958.2
2018-11-12,1951.5
2018-11-13,1919
2018-11-14,1938.55
2018-11-15,1961.9
2018-11-16,1981
2018-11-19,2011
2018-11-20,2013
2018-11-21,2012.75
2018-11-22,2013.25
2018-11-26,2013.9
2018-11-27,2041.05
2018-11-28,2065
2018-11-29,2101
2018-11-30,2130
2018-12-03,2131
2018-12-04,2105.4
2018-12-05,2078
2018-12-06,2089.7
2018-12-07,2106.7
2018-12-10,2065.9
2018-12-11,2056
2018-12-12,2066.95
2018-12-13,2095
2018-12-14,2104.9
2018-12-17,2104
2018-12-18,2124
2018-12-19,2133.1
2018-12-20,2112.55
2018-12-21,2134
2018-12-24,2104
2018-12-26,2077
2018-12-27,2133
2018-12-28,2117.35
2018-12-31,2137
2019-01-01,2127.65
2019-01-02,2142.8
2019-01-03,2124.2
2019-01-04,2115.25
2019-01-07,2127.7
2019-01-08,2122
2019-01-09,2118
2019-01-10,2117
2019-01-11,2113.8
2019-01-14,2109.9
2019-01-15,2105.05
2019-01-16,2120.05
2019-01-17,2125.25
2019-01-18,2135
2019-01-21,2139.95
2019-01-22,2146
2019-01-23,2134
2019-01-24,2110
2019-01-25,2093
2019-01-28,2090
2019-01-29,2078.25
2019-01-30,2057.25
2019-01-31,2031
2019-02-01,2079.95
2019-02-04,2095
2019-02-05,2108
2019-02-06,2116.25
2019-02-07,2125.05
2019-02-08,2112
2019-02-11,2113.3
2019-02-12,2138
2019-02-13,2135.55
2019-02-14,2140
2019-02-15,2107.35
2019-02-18,2106.8
2019-02-19,2089.7
2019-02-20,2088.5
2019-02-21,2101.7
2019-02-22,2119.4
2019-02-25,2095.15
2019-02-26,2111.25
2019-02-27,2116.1
2019-02-28,2093.1
2019-03-01,2086.25
2019-03-05,2088.9
2019-03-06,2110
2019-03-07,2109.6
2019-03-08,2115.05
2019-03-11,2132
2019-03-12,2147
2019-03-13,2175
2019-03-14,2244.85
2019-03-15,2231
2019-03-18,2261.9
2019-03-19,2269.5
2019-03-20,2269
2019-03-22,2300
2019-03-25,2260
2019-03-26,2275.9
2019-03-27,2318.55
2019-03-28,2298.8
2019-03-29,2304.6
2019-04-01,2325.25
2019-04-02,2320
2019-04-03,2292.1
2019-04-04,2292.75
2019-04-05,2287.8
2019-04-08,2319
2019-04-09,2296.6
2019-04-10,2250
2019-04-11,2244.9
2019-04-12,2252.1
2019-04-15,2270
2019-04-16,2290.95
2019-04-18,2313
2019-04-22,2325
2019-04-23,2277.55
2019-04-24,2250
2019-04-25,2286.9
2019-04-26,2265.9
2019-04-30,2285
2019-05-02,2323.5
2019-05-03,2364.2
2019-05-06,2348
2019-05-07,2351.9
2019-05-08,2322.55
2019-05-09,2300
2019-05-10,2291.35
2019-05-13,2296.05
2019-05-14,2296.7
2019-05-15,2296
2019-05-16,2280.55
2019-05-17,2313
2019-05-20,2408
2019-05-21,2438
2019-05-22,2411.85
2019-05-23,2409
2019-05-24,2359.7
2019-05-27,2378.9
2019-05-28,2416.5
2019-05-29,2410.2
2019-05-30,2416
2019-05-31,2456.8
2019-06-03,2427
2019-06-04,2455
2019-06-06,2453.2
2019-06-07,2425.65
2019-06-10,2469.95
2019-06-11,2451.5
2019-06-12,2445
2019-06-13,2435.95
2019-06-14,2442.95
2019-06-17,2435
2019-06-18,2418
2019-06-19,2427
2019-06-20,2428.35
2019-06-21,2426
2019-06-24,2411.95
2019-06-25,2419.85
2019-06-26,2424.7
2019-06-27,2468.75
2019-06-28,2464
2019-07-01,2456
2019-07-02,2488
2019-07-03,2499
2019-07-04,2494.8
2019-07-05,2485.1
2019-07-08,2474.55
2019-07-09,2403.85
2019-07-10,2378.75
2019-07-11,2403
2019-07-12,2418
2019-07-15,2396
2019-07-16,2418
2019-07-17,2392.95
2019-07-18,2403
2019-07-19,2415
2019-07-22,2345
2019-07-23,2294.5
2019-07-24,2256.75
2019-07-25,2285
2019-07-26,2278.2
2019-07-29,2273.55
2019-07-30,2255
2019-07-31,2240
2019-08-01,2229.1
2019-08-02,2211
2019-08-05,2197.05
2019-08-06,2167
2019-08-07,2190
2019-08-08,2198
2019-08-09,2247
2019-08-13,2273.3
2019-08-14,2235.4
2019-08-16,2214
2019-08-19,2238.5
2019-08-20,2209.25
2019-08-21,2224.9
2019-08-22,2220.85
2019-08-23,2161
2019-08-26,2194.9
2019-08-27,2256
2019-08-28,2250
2019-08-29,2246
2019-08-30,2233.5
2019-09-03,2220
2019-09-04,2207
2019-09-05,2249
2019-09-06,2228
2019-09-09,2246
2019-09-11,2274
2019-09-12,2250.7
2019-09-13,2251
2019-09-16,2251.9
2019-09-17,2247.9
2019-09-18,2217.3
2019-09-19,1099.9
2019-09-20,1108
2019-09-23,1259.55
2019-09-24,1250
2019-09-25,1249.9
2019-09-26,1239.8
2019-09-27,1248.25
2019-09-30,1228.8
2019-10-01,1231.5
2019-10-03,1239.95
2019-10-04,1236.65
2019-10-07,1201.2
2019-10-09,1197.1
2019-10-10,1221.8
2019-10-11,1213.4
2019-10-14,1209
2019-10-15,1207
2019-10-16,1231.65
2019-10-17,1227.5
2019-10-18,1225.45
2019-10-22,1257
2019-10-23,1246.85
2019-10-24,1248
2019-10-25,1240
2019-10-27,1239.95
2019-10-29,1238
2019-10-30,1246.9
2019-10-31,1257.7
2019-11-01,1239
2019-11-04,1246.45
2019-11-05,1241
2019-11-06,1242.45
2019-11-07,1261
2019-11-08,1259
2019-11-11,1252.55
2019-11-13,1261.95
2019-11-14,1263.8
2019-11-15,1283.85
2019-11-18,1277
2019-11-19,1265.3
2019-11-20,1273
2019-11-21,1270.25
2019-11-22,1283.65
2019-11-25,1264.15
2019-11-26,1278.45
2019-11-27,1276
2019-11-28,1280.2
2019-11-29,1267.7
2019-12-02,1273.95
2019-12-03,1268.2
2019-12-04,1252.5
2019-12-05,1255.6
2019-12-06,1248.95
2019-12-09,1249.5
2019-12-10,1251
2019-12-11,1250.1
2019-12-12,1253
2019-12-13,1265
2019-12-16,1269.25
2019-12-17,1260
2019-12-18,1283
2019-12-19,1305
2019-12-20,1288.75
2019-12-23,1299
2019-12-24,1298.6
2019-12-26,1289.7
2019-12-27,1272
2019-12-30,1282
2019-12-31,1281.95
2020-01-01,1276.1
2020-01-02,1279
2020-01-03,1282.2
2020-01-06,1260
2020-01-07,1258.9
2020-01-08,1246.95
2020-01-09,1265
2020-01-10,1284.1
2020-01-13,1282.7
2020-01-14,1289
2020-01-15,1286.4
2020-01-16,1282.05
2020-01-17,1281.75
2020-01-20,1304.85
2020-01-21,1250
2020-01-22,1248.05
2020-01-23,1240
2020-01-24,1246
2020-01-27,1235
2020-01-28,1218.8
2020-01-29,1225.3
2020-01-30,1238.95
2020-01-31,1231.45
2020-02-01,1220
2020-02-03,1197
2020-02-04,1198
2020-02-05,1234.9
2020-02-06,1244.65
2020-02-07,1246
2020-02-10,1242.95
2020-02-11,1243.3
2020-02-12,1245.2
2020-02-13,1259.9
2020-02-14,1243.2
2020-02-17,1225
2020-02-18,1216.9
2020-02-19,1222.5
2020-02-20,1230
2020-02-24,1208.95
2020-02-25,1204
2020-02-26,1197.5
2020-02-27,1195
2020-02-28,1175.5
2020-03-02,1200.2
2020-03-03,1175
2020-03-04,1178.35
2020-03-05,1153
2020-03-06,1125
