Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-08,AXISBANK,EQ,806.1,802,803.65,778.65,784.45,782.9,786.3,7485169,5.88557E+14,139420,4156714,0.5553
2019-07-08,HDFCBANK,EQ,2472.4,2474.55,2474.6,2397.05,2412.7,2409.6,2424.02,3651785,8.85201E+14,148208,2375576,0.6505
2019-07-09,ICICIBANK,EQ,425.9,426,429.8,424.65,428.1,428.5,427.87,11679067,4.99709E+14,134841,6371503,0.5455
2019-07-09,AXISBANK,EQ,782.9,778.5,788.8,776.4,785.7,786.2,783.38,6448920,5.05193E+14,121086,3310791,0.5134
2019-07-09,HDFCBANK,EQ,2409.6,2403.85,2410.8,2373,2377.65,2379.15,2386.59,4120672,9.83434E+14,184776,2722625,0.6607
2019-07-10,ICICIBANK,EQ,428.5,430,432.7,427.2,431.7,430.9,430.21,16494282,7.09595E+14,140226,10927005,0.6625
2019-07-10,AXISBANK,EQ,786.2,786.65,790,764.55,768,769.25,774.27,5814417,4.50191E+14,109665,2323195,0.3996
2019-07-10,HDFCBANK,EQ,2379.15,2378.75,2398,2366.25,2391.2,2388.75,2385.87,2892287,6.90061E+14,166981,1816180,0.6279
2019-07-11,ICICIBANK,EQ,430.9,432.65,432.9,424.8,425.85,426.55,426.97,16535185,7.06005E+14,181487,11039868,0.6677
2019-07-11,AXISBANK,EQ,769.25,773.5,773.5,763,765.45,766.4,767.47,7111401,5.45777E+14,133645,3579212,0.5033
2019-07-11,HDFCBANK,EQ,2388.75,2403,2414,2395.65,2403.75,2407.15,2406.53,2274399,5.47342E+14,135487,1355852,0.5961
2019-07-12,ICICIBANK,EQ,426.55,427.3,433,424,427.3,427.05,427.77,8824728,3.77499E+14,96466,3773913,0.4277
2019-07-12,AXISBANK,EQ,766.4,766.1,768.6,751,754.05,755.8,756.69,8552548,6.4716E+14,166279,3751804,0.4387
2019-07-12,HDFCBANK,EQ,2407.15,2418,2418,2385.05,2390,2393.9,2398.71,2244068,5.38286E+14,119705,1313824,0.5855
2019-07-15,ICICIBANK,EQ,427.05,428.4,428.4,421.6,422.55,422.3,423.79,7825336,3.3163E+14,89202,3997567,0.5108
2019-07-15,AXISBANK,EQ,755.8,757.25,759.65,744,749.9,749.75,749.42,6350785,4.75938E+14,114360,3078039,0.4847
2019-07-15,HDFCBANK,EQ,2393.9,2396,2403,2377.35,2398,2394.75,2389.62,2058296,4.91854E+14,98607,1404876,0.6825
2019-07-16,ICICIBANK,EQ,422.3,421.55,430.55,421.55,424.75,424.6,427.13,12149205,5.18929E+14,145662,5917921,0.4871
2019-07-16,AXISBANK,EQ,749.75,750,763.2,747.55,762.1,761.05,756.33,6170479,4.66692E+14,117902,3195836,0.5179
2019-07-16,HDFCBANK,EQ,2394.75,2418,2418,2382,2393,2391.2,2396.89,3192642,7.6524E+14,131505,1920698,0.6016
2019-07-17,ICICIBANK,EQ,424.6,424.6,427.05,422.5,424.4,424.7,424.69,10961022,4.65504E+14,122652,6468670,0.5902
2019-07-17,AXISBANK,EQ,761.05,763.1,765.55,750.05,754,752.6,756.91,5757193,4.35769E+14,99565,2675037,0.4646
2019-07-17,HDFCBANK,EQ,2391.2,2392.95,2411.6,2391.3,2401.9,2397.45,2402.1,1939934,4.65991E+14,67598,1115864,0.5752
2019-07-18,AXISBANK,EQ,752.6,754,755,734.6,743,740.4,742.83,11283488,8.38176E+14,206879,7041030,0.624
2019-07-18,ICICIBANK,EQ,424.7,425,425.5,417.5,418.65,418.65,421.3,10651654,4.48754E+14,116600,6648250,0.6242
2019-07-18,HDFCBANK,EQ,2397.45,2403,2429,2401.9,2414.75,2411.9,2417.18,2700646,6.52794E+14,95138,1314150,0.4866
2019-07-19,ICICIBANK,EQ,418.65,419.9,420.35,408.5,411.8,410.3,413.12,12260757,5.06518E+14,192447,6974779,0.5689
2019-07-19,AXISBANK,EQ,740.4,743.55,746.8,723.3,730.1,729.25,733.06,8091007,5.93121E+14,185588,4472668,0.5528
2019-07-19,HDFCBANK,EQ,2411.9,2415,2420.7,2367,2379.5,2375.65,2387.87,2234807,5.33642E+14,139292,1221721,0.5467
2019-07-22,ICICIBANK,EQ,410.3,409.75,412.95,404.25,411.85,411.5,409.91,17937246,7.35271E+14,145004,12152939,0.6775
2019-07-22,AXISBANK,EQ,729.25,730,738.5,720,727.1,727.45,728.84,7020071,5.1165E+14,159615,3750001,0.5342
2019-07-22,HDFCBANK,EQ,2375.65,2345,2349.85,2281.25,2302.8,2297.25,2302.41,5542824,1.27618E+15,239328,3160780,0.5702
2019-07-23,ICICIBANK,EQ,411.5,412.8,416,409.75,410.9,411.95,413.88,14207080,5.88009E+14,148413,9025419,0.6353
2019-07-23,AXISBANK,EQ,727.45,732.9,739.3,726.1,728,728,732.29,7048354,5.16144E+14,161571,3432162,0.4869
